DBN,School Name,Total Parent Response Rate,Total Student Response Rate,Total Teacher Response Rate,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Supportive Environment Score,Strong Family-Community Ties Score,Trust Score
84K733,"Math, Engineering, and Science Academy Charter High School",0.21,0.024096385542169,0.29,N/A,N/A,N/A,N/A,N/A,N/A
84K741,Success Academy Charter School - Crown Heights,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
84K742,Explore Empower Charter School,0.75,0.764044943820225,0.5,N/A,N/A,N/A,N/A,N/A,N/A
84K769,Hyde Leadership Charter School- Brooklyn,0.86,0.87037037037037,0.9,N/A,N/A,N/A,N/A,N/A,N/A
84M065,Democracy Prep Endurance Charter School,0.29,0.056313993174061,0.33,N/A,N/A,N/A,N/A,N/A,N/A
84M202,Great Oaks Charter School,0.02,0.208053691275168,0.96,N/A,N/A,N/A,N/A,N/A,N/A
84M204,Capital Preparatory (CP) Harlem Charter School,0.13,0.381067961165048,0.76,N/A,N/A,N/A,N/A,N/A,N/A
84M335,Harlem Village Academy East Charter School,0.49,0.704,0.65,N/A,N/A,N/A,N/A,N/A,N/A
84M336,KIPP Infinity Charter School,0.29,0,0,N/A,N/A,N/A,N/A,N/A,N/A
84M385,Success Academy Charter School - Harlem 3,0,0.021001615508885,0,N/A,N/A,N/A,N/A,N/A,N/A
84M389,KIPP Beyond Charter School,0.3,0.888888888888889,0.43,N/A,N/A,N/A,N/A,N/A,N/A
84Q321,Growing Up Green Charter School,0.69,0.941176470588235,0.83,N/A,N/A,N/A,N/A,N/A,N/A
84Q342,Rochdale Early Advantage Charter School,0.28,0,0,N/A,N/A,N/A,N/A,N/A,N/A
84Q359,Academy of the City Charter School,0.76,0.864035087719298,0.6,N/A,N/A,N/A,N/A,N/A,N/A
84Q372,Growing Up Green Charter School II,0.56,0.980132450331126,0.81,N/A,N/A,N/A,N/A,N/A,N/A
84R067,John W. Lavelle Preparatory Charter School,0.69,0.891025641025641,1,N/A,N/A,N/A,N/A,N/A,N/A
84X255,Bronx Charter School for Excellence,1,0.922222222222223,0.98,N/A,N/A,N/A,N/A,N/A,N/A
84X395,"NYC Charter High School for Architecture, Engineering and Construction Industries (AECI)",0.93,0.958424507658643,0.74,N/A,N/A,N/A,N/A,N/A,N/A
84X419,Bronx Academy of Promise Charter School,0.28,0.974489795918367,0.87,N/A,N/A,N/A,N/A,N/A,N/A
84X538,Icahn Charter School 5,0.57,0.032258064516129,0,N/A,N/A,N/A,N/A,N/A,N/A
